Landfill_ID,Landfill_Name,Landfill_Alias,State,City,County,Zipcode,Latitude,Longitude,Ownership_Type,Year_opened,Landfill_Closure_Year,Status,Current_Area,Current_Depth,Design_Capacity_tons,Waste_in_Place_tons,Annual_waste_acceptance_rate_tons
1071,Charlotte Motor Speedway Landfill V,CMS Landfill V,NC,Concord,Cabarrus,28027.0,35.3457,-80.6826,Private,1992.0,2034.0,Open,276.0,,40798812.0,34219656.0,1316511.0
1268,Modern LF,Modern Trash Removal LF,PA,York,York,17406.0,39.955999999999996,-76.595,Private,1949.0,2025.0,Open,230.0,,37301113.0,34181239.0,1131122.0
1820,Tessman Road Landfill,BFI - Tessman Road Landfill,TX,San Antonio,Bexar,78219.0,29.435834000000003,-98.339168,Private,1982.0,2060.0,Open,260.2,113.0,79930520.0,33483064.0,1330436.0
420,Orange County SLF,,FL,Orlando,Orange,32829.0,28.480999999999998,-81.2083,Public,1972.0,2088.0,Open,717.4,,64559937.0,32954638.0,990732.0
1899,Orchard Hills Landfill Inc.,"Davis Junction LF; Ogle County-Davis Junction; Rockford; Veolia ES Orchard Hills Landfill, Inc.",IL,Davis Junction,Ogle,61020.0,42.14322,-89.0769,Private,1998.0,2025.0,Open,161.5,,41537551.0,32515162.0,2247724.0
419,Okeechobee LF,Berman Road LF,FL,Okeechobee,Okeechobee,34972.0,27.341040000000003,-80.6966,Private,1981.0,2087.0,Open,187.6,,241553464.0,32465910.0,2361928.0
225,"Newby Island SLF Phases I, II, & III",NISL,CA,Milpitas,Santa Clara,95035.0,37.45897,-121.94108,Private,1930.0,2033.0,Open,235.0,,55759544.0,32026031.0,1729619.0
265,Kiefer LF,Sacramento County LF,CA,Sloughhouse,Sacramento,95683.0,38.520990000000005,-121.1989,Public,1967.0,2064.0,Open,295.0,,117420098.0,31475089.0,917928.0
402,Medley Landfill,,FL,Medley,Miami-Dade,33178.0,25.8586,-80.3508,Private,1980.0,2030.0,Open,144.7,,38135002.0,31324725.0,1263223.0
287,Sycamore SLF,,CA,Santee,San Diego,92071.0,32.8496,-117.02667,Private,1962.0,2091.0,Open,153.0,213.0,41611821.0,31236808.0,1075381.0
