               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077487,            0.012353,                   0,             0.11282,            0.096296,            0.032936,           0.0048199,            0.087892,            0.041732,                   0,             0.00138,             0.00138,             0.08758
                   1,            0.067709,             0.01203,                   0,            0.085539,             0.14815,            0.027178,           0.0050936,            0.077177,            0.066304,                   0,           0.0027699,           0.0027699,             0.07507
                   2,             0.06557,            0.011893,                   0,            0.084025,             0.17778,             0.03558,           0.0074922,            0.071109,            0.016981,                   0,           0.0041596,           0.0041596,             0.06256
                   3,            0.061759,            0.012132,                   0,             0.20525,             0.17037,            0.081729,            0.014483,            0.065759,            0.016935,                   0,           0.0055488,           0.0055488,            0.050049
                   4,             0.05834,            0.011518,                   0,               0.213,             0.16296,             0.11026,            0.029949,            0.062599,            0.020082,                   0,           0.0069373,           0.0069373,            0.037537
                   5,            0.055803,            0.011572,                   0,             0.17838,             0.16243,            0.083629,            0.018597,            0.064422,            0.029727,                   0,           0.0083249,           0.0083249,            0.025025
                   6,            0.055281,            0.011396,                   0,             0.33223,             0.22113,             0.16569,            0.039566,            0.060747,            0.015509,                   0,           0.0097114,           0.0097114,            0.012511
                   7,            0.053986,            0.011343,                   0,             0.13612,             0.19259,            0.080496,            0.016657,             0.06456,            0.017297,                   0,           0.0099879,           0.0099879,           0.0099879
                   8,            0.051863,             0.01123,                   0,             0.15826,             0.37778,             0.13025,            0.036021,            0.061561,            0.012627,                   0,           0.0099879,           0.0099879,           0.0099879
                   9,            0.049023,            0.010842,                   0,             0.13472,             0.25926,            0.088106,            0.020839,            0.060025,            0.011261,                   0,           0.0099842,           0.0099842,           0.0099842
                  10,            0.046611,            0.010625,                   0,             0.21339,             0.23704,             0.13623,            0.036152,            0.057985,            0.010849,                   0,             0.00998,             0.00998,             0.00998
                  11,            0.044124,            0.010153,                   0,             0.21056,             0.25926,              0.1349,             0.03951,            0.058884,            0.011156,                   0,           0.0099753,           0.0099753,           0.0099753
                  12,            0.042776,           0.0098782,                   0,             0.17553,             0.28889,             0.13459,            0.039512,             0.05739,            0.011707,                   0,           0.0099702,           0.0099702,           0.0099702
                  13,            0.044006,            0.010039,                   0,             0.26132,             0.16296,             0.12071,             0.02816,            0.060016,            0.012106,                   0,           0.0099645,           0.0099645,           0.0099645
                  14,            0.042378,           0.0096439,                   0,             0.18577,             0.25185,             0.10423,            0.030157,            0.058561,            0.011093,                   0,           0.0099584,           0.0099584,           0.0099584
                  15,            0.041139,           0.0094792,                   0,             0.18168,             0.27407,             0.14924,            0.035593,            0.057332,            0.011249,                   0,           0.0099517,           0.0099517,           0.0099517
                  16,            0.039921,           0.0094332,                   0,             0.25888,             0.20741,             0.12263,            0.034297,            0.060303,            0.010924,                   0,           0.0099446,           0.0099446,           0.0099446
                  17,            0.039007,           0.0089658,                   0,             0.15542,             0.31852,             0.14564,            0.033995,            0.059986,            0.011582,                   0,            0.009937,            0.009937,            0.009937
                  18,            0.037453,           0.0089224,                   0,             0.18341,             0.24444,             0.10096,            0.034247,            0.059915,            0.011967,                   0,           0.0099289,           0.0099289,           0.0099289
                  19,             0.03687,           0.0086575,                   0,             0.20299,             0.20741,             0.11958,            0.029923,            0.059583,            0.011423,                   0,           0.0099203,           0.0099203,           0.0099203
                  20,            0.035572,           0.0083672,                   0,             0.27373,             0.27407,             0.17122,            0.044381,            0.058501,            0.011368,                   0,           0.0099112,           0.0099112,           0.0099112
                  21,            0.034091,           0.0080695,                   0,             0.19066,             0.34815,              0.1621,            0.054188,            0.058433,            0.013208,                   0,           0.0099017,           0.0099017,           0.0099017
                  22,             0.03439,           0.0081761,                   0,             0.20554,             0.26667,              0.1212,            0.032692,            0.059261,            0.012501,                   0,           0.0098916,           0.0098916,           0.0098916
                  23,            0.034913,           0.0080312,                   0,             0.24999,             0.25926,             0.15901,            0.047707,            0.058886,            0.011541,                   0,           0.0098811,           0.0098811,           0.0098811
                  24,            0.033542,           0.0079514,                   0,             0.24351,             0.28852,             0.17703,            0.051987,            0.058786,             0.01144,                   0,           0.0098701,           0.0098701,           0.0098701
                  25,            0.032153,           0.0076437,                   0,             0.28096,             0.14815,             0.11656,            0.033156,            0.058809,            0.013442,                   0,           0.0098586,           0.0098586,           0.0098586
                  26,            0.032959,           0.0074653,                   0,             0.27367,             0.17037,             0.12521,            0.032847,            0.061642,            0.012529,                   0,           0.0098467,           0.0098467,           0.0098467
                  27,            0.031823,           0.0075959,                   0,             0.24996,             0.17778,              0.1206,            0.031209,            0.061059,            0.012352,                   0,           0.0098342,           0.0098342,           0.0098342
                  28,            0.030781,           0.0074302,                   0,             0.20397,             0.25185,             0.12302,            0.033007,            0.060835,            0.011921,                   0,           0.0098213,           0.0098213,           0.0098213
                  29,             0.03111,           0.0074674,                   0,             0.15838,             0.15556,            0.080365,            0.022259,             0.06103,            0.012697,                   0,           0.0098079,           0.0098079,           0.0098079
                  30,            0.031748,           0.0072158,                   0,             0.27694,             0.24444,             0.15976,            0.045172,            0.063949,            0.011863,                   0,           0.0097941,           0.0097941,           0.0097941
                  31,            0.033057,           0.0072308,                   0,             0.15936,             0.31034,            0.099793,            0.025954,            0.057891,            0.013638,                   0,           0.0097798,           0.0097798,           0.0097798
                  32,            0.031444,           0.0071938,                   0,             0.23499,             0.23704,             0.12924,            0.035494,            0.061295,            0.012324,                   0,            0.009765,            0.009765,            0.009765
                  33,            0.030702,            0.007053,                   0,             0.45592,             0.19259,             0.19065,            0.051099,            0.059496,            0.012105,                   0,           0.0097497,           0.0097497,           0.0097497
                  34,            0.032329,            0.007169,                   0,             0.17116,             0.32593,             0.12557,            0.034621,            0.059273,            0.012812,                   0,            0.009734,            0.009734,            0.009734
                  35,            0.031681,           0.0073437,                   0,             0.21898,             0.23704,             0.13665,            0.041238,            0.062088,            0.012377,                   0,           0.0097178,           0.0097178,           0.0097178
                  36,            0.029831,           0.0069848,                   0,             0.11552,             0.14815,            0.051508,            0.012559,            0.064722,            0.014265,                   0,           0.0097011,           0.0097011,           0.0097011
                  37,            0.030626,           0.0067871,                   0,             0.29598,             0.17778,             0.13144,            0.039491,            0.059783,            0.013211,                   0,            0.009684,            0.009684,            0.009684
                  38,            0.028648,           0.0067512,                   0,              0.2165,             0.28889,             0.12704,            0.025911,            0.060478,            0.013122,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,            0.029214,           0.0065551,                   0,             0.15326,             0.31111,             0.10317,            0.024573,            0.063834,            0.012415,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,             0.02875,           0.0066799,                   0,             0.20208,             0.25185,             0.10952,            0.025374,            0.060309,            0.014118,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,            0.028916,           0.0065287,                   0,             0.15066,             0.22222,              0.1074,            0.026728,            0.061031,            0.013653,                   0,            0.009611,            0.009611,            0.009611
                  42,            0.029758,           0.0064964,                   0,             0.19274,             0.25926,              0.1099,            0.024374,             0.05904,             0.01325,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,            0.028223,           0.0065029,                   0,             0.20983,              0.1849,             0.08078,            0.019783,            0.061957,            0.014525,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,            0.027581,           0.0062662,                   0,             0.13925,             0.34815,             0.10606,            0.028149,            0.059419,            0.013579,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,            0.027505,            0.006114,                   0,             0.18926,                 0.2,             0.10504,            0.027465,            0.064595,             0.01424,                   0,           0.0095307,           0.0095307,           0.0095307
                  46,            0.027586,           0.0062008,                   0,              0.2452,             0.22963,             0.12814,            0.029891,            0.063394,            0.014005,                   0,           0.0095095,           0.0095095,           0.0095095
                  47,            0.027846,           0.0061447,                   0,             0.25245,             0.16296,             0.10679,            0.025162,            0.062549,            0.013725,                   0,           0.0094879,           0.0094879,           0.0094879
                  48,            0.026963,           0.0061039,                   0,              0.3034,             0.17778,             0.10477,            0.025814,            0.062593,            0.013889,                   0,           0.0094659,           0.0094659,           0.0094659
                  49,            0.027041,           0.0060893,                   0,             0.19997,             0.18519,             0.10019,            0.022477,            0.064674,            0.014061,                   0,           0.0094434,           0.0094434,           0.0094434
                  50,            0.027376,           0.0059467,                   0,             0.21759,             0.18519,            0.098357,            0.026553,            0.061627,            0.014327,                   0,           0.0094205,           0.0094205,           0.0094205
                  51,            0.027515,           0.0059074,                   0,             0.30211,             0.17037,             0.12822,            0.032928,            0.061211,             0.01429,                   0,           0.0093971,           0.0093971,           0.0093971
                  52,            0.027383,           0.0059864,                   0,              0.2499,             0.14815,            0.088805,            0.019809,            0.061431,            0.014559,                   0,           0.0093733,           0.0093733,           0.0093733
                  53,            0.025918,           0.0056911,                   0,             0.13117,             0.31111,            0.070769,            0.018168,            0.061497,            0.015156,                   0,           0.0093491,           0.0093491,           0.0093491
                  54,            0.026032,           0.0057315,                   0,             0.23331,             0.18485,             0.10857,            0.026774,            0.063951,            0.014698,                   0,           0.0093245,           0.0093245,           0.0093245
                  55,            0.026161,           0.0057978,                   0,             0.14115,             0.24444,            0.074392,            0.021445,            0.061777,            0.014075,                   0,           0.0092995,           0.0092995,           0.0092995
                  56,            0.024984,           0.0057905,                   0,             0.20176,             0.16296,            0.092922,            0.024679,             0.06343,            0.014884,                   0,            0.009274,            0.009274,            0.009274
                  57,            0.025926,            0.005771,                   0,             0.14857,             0.23704,             0.11283,            0.031656,            0.063107,            0.014429,                   0,           0.0092481,           0.0092481,           0.0092481
                  58,            0.025816,           0.0058756,                   0,             0.17377,             0.17037,            0.080369,            0.023215,            0.064141,            0.014002,                   0,           0.0092219,           0.0092219,           0.0092219
                  59,            0.025709,           0.0057449,                   0,             0.17865,             0.19259,            0.087716,            0.021843,            0.061582,            0.014035,                   0,           0.0091952,           0.0091952,           0.0091952
