               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091579,           0.0047973,                   0,           0.0035946,             0.18333,           0.0029811,           0.0004291,            0.093404,           0.0023094,                   0,             0.00037,             0.00037,             0.09667
                   1,            0.091896,            0.005014,                   0,           0.0035299,             0.18333,           0.0027369,          0.00043705,             0.09173,           0.0023775,                   0,          0.00074974,          0.00074974,             0.09325
                   2,            0.086323,            0.005353,                   0,           0.0041658,             0.21667,           0.0029388,          0.00050751,            0.090867,           0.0023853,                   0,           0.0011284,           0.0011284,            0.089828
                   3,            0.085108,           0.0050165,                   0,          0.00068841,             0.16667,          0.00036612,           7.073e-05,             0.12841,            0.081515,                   0,           0.0015053,           0.0015053,            0.086405
                   4,             0.08322,           0.0048996,                   0,           0.0036371,            0.083333,           0.0021498,          0.00035288,            0.093925,            0.011236,                   0,           0.0018795,           0.0018795,             0.08298
                   5,            0.094764,           0.0053017,                   0,           0.0040039,             0.26667,           0.0026348,          0.00050807,            0.091795,           0.0055105,                   0,           0.0022504,           0.0022504,             0.07955
                   6,            0.089726,           0.0055334,                   0,             0.01295,            0.016667,           0.0029435,          0.00056197,            0.091163,           0.0051016,                   0,           0.0026171,           0.0026171,            0.076117
                   7,            0.085366,           0.0052989,                   0,           0.0053903,            0.083333,            0.002484,          0.00046777,            0.090631,           0.0026606,                   0,           0.0029788,           0.0029788,            0.072679
                   8,            0.081717,           0.0052433,                   0,           0.0032953,                0.05,           0.0020682,          0.00039575,            0.091007,           0.0025785,                   0,           0.0033349,           0.0033349,            0.069235
                   9,            0.083233,           0.0053451,                   0,           0.0081308,                 0.1,           0.0031821,          0.00065244,            0.089424,            0.002372,                   0,           0.0036846,           0.0036846,            0.065785
                  10,            0.080169,           0.0053885,                   0,           0.0099443,                 0.1,           0.0035717,          0.00073405,            0.088642,           0.0023844,                   0,           0.0040272,           0.0040272,            0.062327
                  11,            0.086232,           0.0056828,                   0,           0.0066402,            0.066667,           0.0030936,          0.00052977,            0.088402,           0.0023836,                   0,           0.0043619,           0.0043619,            0.058862
                  12,            0.078329,           0.0052669,                   0,           0.0028027,                0.25,           0.0023374,          0.00038528,            0.088943,           0.0024236,                   0,           0.0046882,           0.0046882,            0.055388
