               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.028648,           0.0067512,                   0,             0.30921,             0.22222,             0.18272,            0.048506,            0.060478,            0.013122,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,            0.029214,           0.0065551,                   0,             0.25442,             0.20741,             0.15481,            0.048958,            0.063834,            0.012415,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,             0.02875,           0.0066799,                   0,             0.28839,             0.22222,             0.15776,            0.045577,            0.060309,            0.014118,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,            0.028916,           0.0065287,                   0,             0.20852,             0.17778,             0.13817,            0.046451,            0.061031,            0.013653,                   0,            0.009611,            0.009611,            0.009611
                  42,            0.029758,           0.0064964,                   0,             0.24397,             0.22963,             0.15156,            0.042248,             0.05904,             0.01325,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,            0.028223,           0.0065029,                   0,             0.20603,                 0.2,             0.13763,            0.040512,            0.061957,            0.014525,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,            0.027581,           0.0062662,                   0,             0.21379,                 0.2,             0.13812,            0.048313,            0.059419,            0.013579,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,            0.027505,            0.006114,                   0,             0.27254,             0.21481,             0.16644,            0.051604,            0.064595,             0.01424,                   0,           0.0095307,           0.0095307,           0.0095307
                  46,            0.027586,           0.0062008,                   0,             0.28905,             0.17778,             0.16062,            0.047958,            0.063394,            0.014005,                   0,           0.0095095,           0.0095095,           0.0095095
                  47,            0.027846,           0.0061447,                   0,             0.22876,             0.18457,             0.14326,            0.046284,            0.062549,            0.013725,                   0,           0.0094879,           0.0094879,           0.0094879
                  48,            0.026963,           0.0061039,                   0,             0.31321,             0.19259,             0.16845,            0.054231,            0.062593,            0.013889,                   0,           0.0094659,           0.0094659,           0.0094659
                  49,            0.027041,           0.0060893,                   0,              0.2801,                 0.2,             0.16608,            0.047106,            0.064674,            0.014061,                   0,           0.0094434,           0.0094434,           0.0094434
