               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071812,              0.0141,                   0,           0.0038592,             0.11667,           0.0019753,          0.00041094,            0.083045,            0.010917,                   0,             0.00037,             0.00037,             0.09667
                   1,            0.061241,              0.0138,                   0,            0.010212,             0.21667,           0.0056997,          0.00085665,            0.074501,            0.016946,                   0,          0.00074998,          0.00074998,             0.09325
                   2,            0.053257,            0.013994,                   0,             0.13379,                0.25,            0.086796,            0.018043,            0.066763,            0.015967,                   0,           0.0011299,           0.0011299,             0.08983
                   3,            0.051084,            0.013127,                   0,           0.0090479,                0.55,           0.0075312,           0.0012994,             0.07741,             0.11765,                   0,           0.0015097,           0.0015097,             0.08641
                   4,            0.051609,            0.013068,                   0,             0.14621,             0.16667,            0.069519,            0.010846,            0.064126,            0.080559,                   0,           0.0018893,           0.0018893,            0.082989
                   5,            0.047796,            0.012626,                   0,             0.14621,                 0.2,            0.074967,            0.011681,            0.069247,             0.13097,                   0,           0.0022686,           0.0022686,            0.079569
                   6,            0.046871,             0.01208,                   0,              0.1763,             0.32823,             0.17196,            0.027158,            0.067484,             0.41553,                   0,           0.0026476,           0.0026476,            0.076148
                   7,            0.042767,            0.011609,                   0,             0.15024,             0.23333,              0.1021,            0.017064,            0.062124,              0.2071,                   0,           0.0030263,           0.0030263,            0.072726
                   8,            0.043279,            0.011182,                   0,            0.098765,             0.18333,            0.053854,            0.013836,            0.060943,            0.070445,                   0,           0.0034046,           0.0034046,            0.069305
                   9,             0.04299,            0.011061,                   0,            0.065262,                0.25,            0.037556,           0.0093241,            0.062735,            0.064138,                   0,           0.0037824,           0.0037824,            0.065882
                  10,            0.038802,            0.010359,                   0,             0.10064,             0.23333,            0.056019,            0.013583,            0.057939,            0.038556,                   0,           0.0041597,           0.0041597,             0.06246
                  11,            0.037201,            0.010106,                   0,             0.14237,             0.21667,            0.070368,            0.015657,            0.057258,            0.027625,                   0,           0.0045364,           0.0045364,            0.059036
                  12,            0.036812,            0.010028,                   0,             0.08453,             0.26667,            0.056433,            0.010672,            0.059784,            0.067491,                   0,           0.0049125,           0.0049125,            0.055613
                  13,            0.036259,           0.0088825,                   0,             0.16835,             0.26667,              0.1331,            0.029977,            0.057046,            0.027335,                   0,           0.0052879,           0.0052879,            0.052188
                  14,            0.033536,           0.0093144,                   0,             0.17296,             0.21667,            0.081517,            0.012806,            0.058281,            0.042265,                   0,           0.0056625,           0.0056625,            0.048763
                  15,            0.032319,            0.008718,                   0,             0.10074,             0.36667,            0.090553,            0.022179,            0.057638,            0.022156,                   0,           0.0060364,           0.0060364,            0.045336
                  16,            0.029995,           0.0077371,                   0,             0.21801,                0.25,             0.12468,             0.02605,            0.058782,            0.025248,                   0,           0.0064094,           0.0064094,            0.041909
                  17,            0.032262,           0.0078017,                   0,              0.1455,                0.25,             0.10466,            0.026637,            0.058735,            0.033739,                   0,           0.0067814,           0.0067814,            0.038481
                  18,            0.032465,           0.0076275,                   0,             0.11535,             0.26667,             0.05572,             0.01548,            0.059253,            0.032531,                   0,           0.0071525,           0.0071525,            0.035053
                  19,            0.031036,           0.0071976,                   0,             0.19004,             0.13333,             0.10842,            0.035709,            0.059575,            0.020029,                   0,           0.0075226,           0.0075226,            0.031623
                  20,            0.031907,           0.0073349,                   0,             0.10246,             0.26667,            0.080343,            0.019132,            0.057852,            0.030374,                   0,           0.0078916,           0.0078916,            0.028192
                  21,             0.03175,           0.0071572,                   0,             0.15561,                 0.2,            0.071041,            0.020993,            0.057985,            0.026023,                   0,           0.0082595,           0.0082595,             0.02476
                  22,            0.032651,           0.0076203,                   0,             0.16659,                0.25,             0.08218,             0.02249,            0.057608,            0.024275,                   0,           0.0086262,           0.0086262,            0.021326
                  23,            0.031532,           0.0071599,                   0,             0.12006,             0.21667,            0.056655,            0.016707,            0.056985,            0.017494,                   0,           0.0089917,           0.0089917,            0.017892
                  24,            0.031684,           0.0070213,                   0,             0.19375,             0.31641,            0.098473,            0.024675,            0.058008,            0.015349,                   0,           0.0093558,           0.0093558,            0.014456
                  25,            0.030036,            0.006576,                   0,               0.289,             0.18292,             0.13411,            0.025905,            0.058488,            0.015214,                   0,           0.0097187,           0.0097187,            0.011019
                  26,            0.026703,           0.0065958,                   0,             0.15037,             0.28333,             0.11585,            0.026559,            0.057139,            0.018942,                   0,           0.0098342,           0.0098342,           0.0098342
                  27,            0.026992,           0.0065286,                   0,             0.13422,             0.26667,            0.079959,            0.025269,            0.058382,            0.015745,                   0,           0.0098342,           0.0098342,           0.0098342
                  28,            0.027763,           0.0059993,                   0,             0.27888,                0.15,            0.099859,            0.031855,             0.05801,            0.018001,                   0,           0.0098213,           0.0098213,           0.0098213
                  29,            0.029008,           0.0064228,                   0,             0.18561,             0.21667,            0.086761,            0.028562,            0.058561,            0.016818,                   0,           0.0098079,           0.0098079,           0.0098079
                  30,            0.027432,           0.0060752,                   0,             0.14631,             0.23333,            0.090734,            0.027353,             0.05833,            0.016453,                   0,           0.0097941,           0.0097941,           0.0097941
                  31,            0.027043,           0.0059759,                   0,             0.11177,             0.24956,            0.069481,            0.018268,            0.058989,            0.014362,                   0,           0.0097798,           0.0097798,           0.0097798
                  32,            0.027103,           0.0057643,                   0,             0.49793,             0.14883,             0.14102,            0.048649,            0.057309,            0.014374,                   0,            0.009765,            0.009765,            0.009765
                  33,            0.024619,           0.0053914,                   0,             0.28787,                0.25,             0.13732,            0.038793,            0.057926,            0.014703,                   0,           0.0097497,           0.0097497,           0.0097497
                  34,            0.025791,           0.0056094,                   0,             0.19042,                 0.2,            0.085323,            0.025744,            0.057787,            0.015741,                   0,            0.009734,            0.009734,            0.009734
                  35,            0.025612,           0.0052058,                   0,             0.20294,                 0.2,              0.1439,            0.038951,            0.055921,            0.015721,                   0,           0.0097178,           0.0097178,           0.0097178
                  36,             0.02395,           0.0052154,                   0,             0.28893,                0.15,             0.13721,            0.049705,            0.056258,            0.015261,                   0,           0.0097011,           0.0097011,           0.0097011
                  37,            0.024729,           0.0048526,                   0,             0.56999,             0.13333,             0.15929,            0.053697,            0.055965,            0.016209,                   0,            0.009684,            0.009684,            0.009684
                  38,            0.023647,           0.0052134,                   0,             0.28166,             0.18333,              0.1554,            0.054953,            0.057181,            0.016807,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,            0.022643,           0.0047293,                   0,               0.232,             0.21667,             0.13844,            0.051003,            0.059589,            0.017409,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,            0.021184,           0.0046331,                   0,             0.14283,             0.23333,             0.09622,             0.03076,            0.059998,            0.017359,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,            0.023489,           0.0046398,                   0,             0.12959,             0.23333,            0.086775,            0.027814,            0.060649,             0.01747,                   0,            0.009611,            0.009611,            0.009611
                  42,            0.021845,           0.0044488,                   0,             0.21184,             0.23333,             0.12168,            0.043401,            0.060172,            0.017193,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,            0.020274,           0.0041876,                   0,             0.18511,             0.13333,            0.067768,             0.02124,            0.059946,            0.018758,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,            0.019784,           0.0039547,                   0,             0.35145,                 0.1,            0.087412,            0.027164,            0.059902,            0.018374,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,            0.021104,            0.004314,                   0,             0.25995,             0.18333,             0.13305,            0.042392,             0.05893,            0.017597,                   0,           0.0095307,           0.0095307,           0.0095307
                  46,            0.021093,            0.003907,                   0,             0.31069,             0.23289,             0.18685,             0.06116,            0.059361,            0.018629,                   0,           0.0095095,           0.0095095,           0.0095095
                  47,            0.021244,           0.0039708,                   0,             0.40382,             0.21667,             0.20129,            0.063682,             0.05707,            0.018957,                   0,           0.0094879,           0.0094879,           0.0094879
                  48,            0.020099,           0.0042177,                   0,             0.37016,             0.21553,             0.15028,            0.042835,            0.056575,            0.020363,                   0,           0.0094659,           0.0094659,           0.0094659
                  49,             0.01872,            0.003999,                   0,             0.28093,             0.21667,             0.15047,            0.047318,            0.056843,            0.019418,                   0,           0.0094434,           0.0094434,           0.0094434
                  50,            0.020374,           0.0045409,                   0,             0.16678,             0.18333,             0.12453,            0.043104,            0.056514,            0.019306,                   0,           0.0094205,           0.0094205,           0.0094205
                  51,            0.019603,           0.0041086,                   0,             0.19917,             0.18333,             0.10411,            0.038313,            0.057168,            0.019729,                   0,           0.0093971,           0.0093971,           0.0093971
                  52,            0.018004,           0.0038625,                   0,             0.37467,                 0.1,            0.094453,            0.034309,            0.057344,            0.021132,                   0,           0.0093733,           0.0093733,           0.0093733
                  53,            0.018705,           0.0039362,                   0,             0.38416,            0.083333,            0.099165,            0.035805,            0.058335,            0.022243,                   0,           0.0093491,           0.0093491,           0.0093491
                  54,            0.018758,           0.0038086,                   0,             0.23643,             0.18333,             0.10925,             0.03821,              0.0596,            0.020539,                   0,           0.0093245,           0.0093245,           0.0093245
                  55,            0.018852,           0.0041725,                   0,             0.15912,                 0.2,             0.10108,            0.036387,             0.06003,            0.020854,                   0,           0.0092995,           0.0092995,           0.0092995
                  56,            0.018245,           0.0033891,                   0,             0.16655,             0.18333,             0.11092,            0.035111,            0.058175,            0.019733,                   0,            0.009274,            0.009274,            0.009274
                  57,            0.018181,           0.0034852,                   0,             0.23747,              0.1661,             0.11364,            0.035276,            0.058798,            0.019362,                   0,           0.0092481,           0.0092481,           0.0092481
                  58,            0.018219,           0.0036072,                   0,              0.2922,             0.16667,             0.12225,            0.034581,            0.059182,            0.022234,                   0,           0.0092219,           0.0092219,           0.0092219
                  59,            0.017534,           0.0035107,                   0,             0.20829,             0.16667,             0.10388,            0.033595,            0.058607,            0.021969,                   0,           0.0091952,           0.0091952,           0.0091952
                  60,            0.018252,           0.0034896,                   0,             0.14033,             0.13333,             0.06708,             0.01975,            0.057599,            0.020692,                   0,           0.0091681,           0.0091681,           0.0091681
                  61,            0.018649,           0.0035563,                   0,             0.25513,             0.16667,             0.11025,            0.030136,            0.057432,             0.02042,                   0,           0.0091406,           0.0091406,           0.0091406
