               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076929,            0.012547,                   0,            0.062511,             0.10145,            0.015273,           0.0027391,            0.081164,            0.017589,                   0,             0.00139,             0.00139,             0.08749
                   1,              0.0669,            0.012267,                   0,            0.024706,              0.2971,            0.015747,           0.0027254,              0.0733,            0.025012,                   0,           0.0027899,           0.0027899,             0.07489
                   2,            0.061414,            0.012343,                   0,            0.044554,             0.30435,            0.027069,           0.0040136,            0.067995,             0.02135,                   0,           0.0041896,           0.0041896,             0.06229
                   3,            0.061001,            0.011891,                   0,              0.1475,             0.28986,            0.088201,            0.018365,            0.065547,            0.014629,                   0,           0.0055888,           0.0055888,            0.049689
                   4,            0.059844,            0.011812,                   0,             0.17288,             0.28173,             0.11168,            0.025616,            0.064541,             0.01336,                   0,           0.0069872,           0.0069872,            0.037087
                   5,             0.05677,            0.011849,                   0,             0.16032,             0.12319,            0.068998,            0.016531,            0.063909,            0.013135,                   0,           0.0083848,           0.0083848,            0.024485
                   6,            0.055864,            0.011687,                   0,             0.16653,             0.28261,             0.11813,            0.035878,             0.06148,             0.01423,                   0,           0.0097813,           0.0097813,            0.011881
                   7,            0.055423,             0.01139,                   0,             0.16114,             0.26812,            0.097328,            0.018719,            0.061594,            0.013499,                   0,           0.0099879,           0.0099879,           0.0099879
                   8,            0.051406,            0.011318,                   0,             0.18987,             0.24638,             0.10651,            0.025033,            0.061185,            0.011363,                   0,           0.0099879,           0.0099879,           0.0099879
                   9,            0.048523,            0.011043,                   0,             0.27142,             0.21739,             0.13802,            0.035943,             0.05898,            0.011169,                   0,           0.0099842,           0.0099842,           0.0099842
                  10,            0.046645,             0.01094,                   0,             0.27376,             0.21739,             0.16065,             0.03981,            0.061558,            0.010528,                   0,             0.00998,             0.00998,             0.00998
                  11,            0.045127,            0.010566,                   0,             0.21691,              0.2029,             0.10908,            0.029204,             0.05913,            0.013068,                   0,           0.0099753,           0.0099753,           0.0099753
                  12,            0.044417,            0.010302,                   0,              0.1999,             0.38382,             0.17807,            0.048436,            0.059848,            0.010789,                   0,           0.0099702,           0.0099702,           0.0099702
                  13,            0.042531,            0.010076,                   0,             0.29615,             0.19565,             0.15128,            0.034066,            0.060564,            0.011319,                   0,           0.0099645,           0.0099645,           0.0099645
                  14,              0.0402,           0.0098741,                   0,             0.27555,             0.28986,             0.19189,            0.056973,            0.058419,            0.014633,                   0,           0.0099584,           0.0099584,           0.0099584
                  15,            0.038846,           0.0097296,                   0,             0.17435,             0.30435,             0.12539,            0.035026,            0.061834,            0.011194,                   0,           0.0099517,           0.0099517,           0.0099517
                  16,            0.039334,           0.0091601,                   0,             0.30165,             0.23188,              0.1757,            0.055286,            0.060673,            0.011141,                   0,           0.0099446,           0.0099446,           0.0099446
                  17,            0.037643,           0.0090027,                   0,             0.32905,             0.21739,             0.16853,             0.04812,             0.05842,            0.011864,                   0,            0.009937,            0.009937,            0.009937
                  18,            0.037969,           0.0088266,                   0,             0.23307,             0.23913,             0.12925,            0.042204,            0.059101,            0.011464,                   0,           0.0099289,           0.0099289,           0.0099289
                  19,            0.037375,           0.0088358,                   0,             0.21181,             0.28261,             0.13842,            0.036875,            0.060367,            0.011616,                   0,           0.0099203,           0.0099203,           0.0099203
                  20,            0.036415,           0.0084818,                   0,             0.31654,             0.23188,             0.14296,            0.044248,            0.060704,            0.011728,                   0,           0.0099112,           0.0099112,           0.0099112
                  21,             0.03512,           0.0083701,                   0,              0.3236,             0.25308,             0.14202,            0.037867,            0.061792,            0.011665,                   0,           0.0099017,           0.0099017,           0.0099017
                  22,            0.035974,           0.0084314,                   0,             0.25385,             0.30435,             0.15792,            0.047668,            0.059153,            0.011688,                   0,           0.0098916,           0.0098916,           0.0098916
                  23,            0.033079,           0.0081581,                   0,             0.17735,             0.31159,             0.13246,            0.034902,            0.060214,            0.012228,                   0,           0.0098811,           0.0098811,           0.0098811
                  24,            0.031655,           0.0078622,                   0,             0.17345,             0.23913,             0.11365,            0.039448,            0.061645,            0.012775,                   0,           0.0098701,           0.0098701,           0.0098701
                  25,            0.032175,           0.0076592,                   0,             0.36296,             0.19565,             0.14605,            0.033355,             0.06203,            0.012285,                   0,           0.0098586,           0.0098586,           0.0098586
                  26,            0.033645,           0.0076994,                   0,             0.28443,             0.23913,             0.15506,            0.037107,            0.060367,            0.012577,                   0,           0.0098467,           0.0098467,           0.0098467
                  27,            0.032028,           0.0074212,                   0,             0.20321,             0.15942,            0.094769,            0.030814,            0.060343,             0.01334,                   0,           0.0098342,           0.0098342,           0.0098342
                  28,            0.030522,            0.007353,                   0,             0.14524,             0.24638,            0.072297,            0.020241,            0.062057,            0.013837,                   0,           0.0098213,           0.0098213,           0.0098213
                  29,            0.032912,           0.0074578,                   0,             0.22801,             0.26812,             0.14198,            0.040335,            0.060159,            0.012216,                   0,           0.0098079,           0.0098079,           0.0098079
                  30,            0.032074,           0.0073481,                   0,              0.2101,             0.26812,             0.12307,            0.028701,            0.062982,            0.012963,                   0,           0.0097941,           0.0097941,           0.0097941
                  31,            0.032374,           0.0072356,                   0,             0.19326,             0.30435,             0.14703,            0.036861,            0.060055,            0.012538,                   0,           0.0097798,           0.0097798,           0.0097798
                  32,            0.030731,           0.0069842,                   0,             0.28953,             0.19491,             0.15177,            0.046412,            0.058408,            0.012602,                   0,            0.009765,            0.009765,            0.009765
                  33,            0.030326,           0.0070306,                   0,             0.26378,             0.23913,             0.13901,            0.032145,            0.061967,            0.014104,                   0,           0.0097497,           0.0097497,           0.0097497
                  34,            0.029416,           0.0070002,                   0,             0.24853,             0.31159,             0.16815,             0.04573,             0.05913,            0.012545,                   0,            0.009734,            0.009734,            0.009734
                  35,            0.029876,           0.0066978,                   0,             0.21166,             0.21012,             0.10768,            0.029439,            0.064795,            0.013169,                   0,           0.0097178,           0.0097178,           0.0097178
                  36,            0.030249,           0.0067091,                   0,             0.22013,             0.26812,             0.11947,            0.025558,            0.062715,            0.012775,                   0,           0.0097011,           0.0097011,           0.0097011
                  37,            0.029732,           0.0067801,                   0,             0.20297,             0.28986,             0.12136,            0.034471,            0.063719,             0.01297,                   0,            0.009684,            0.009684,            0.009684
                  38,            0.029782,           0.0068995,                   0,              0.1834,             0.27536,             0.11516,            0.039471,            0.058689,            0.012993,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,            0.028238,           0.0066254,                   0,             0.37838,             0.18116,             0.14956,            0.042618,            0.062797,            0.012809,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,            0.029516,           0.0066714,                   0,             0.30763,              0.2029,             0.12187,            0.033885,            0.060543,            0.013626,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,            0.028145,           0.0066658,                   0,             0.34028,             0.18841,             0.12637,            0.034672,            0.059886,            0.014687,                   0,            0.009611,            0.009611,            0.009611
                  42,            0.027002,           0.0063723,                   0,             0.23433,             0.21739,             0.14193,            0.036713,            0.062392,            0.013732,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,            0.027106,           0.0063506,                   0,             0.29521,             0.22464,             0.14816,            0.045436,            0.060253,            0.014139,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,            0.027368,           0.0062849,                   0,             0.23821,             0.22464,             0.12128,            0.033802,            0.061446,             0.01389,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,             0.02718,           0.0062389,                   0,             0.28666,             0.19565,             0.11316,            0.028619,            0.062073,             0.01422,                   0,           0.0095307,           0.0095307,           0.0095307
                  46,            0.027285,           0.0063285,                   0,              0.2011,             0.23913,             0.12729,            0.031438,            0.063521,             0.01297,                   0,           0.0095095,           0.0095095,           0.0095095
                  47,            0.027125,           0.0061045,                   0,             0.15718,             0.26812,             0.10789,            0.029107,            0.063803,            0.015066,                   0,           0.0094879,           0.0094879,           0.0094879
                  48,            0.026987,           0.0061601,                   0,             0.21115,             0.12996,            0.088935,            0.022442,            0.064964,            0.013847,                   0,           0.0094659,           0.0094659,           0.0094659
                  49,            0.027409,           0.0061975,                   0,             0.22668,             0.23188,             0.12042,            0.033908,            0.061882,            0.014327,                   0,           0.0094434,           0.0094434,           0.0094434
