Landfill_ID,Landfill_Name,Landfill_Alias,State,Address,City,County,Zipcode,Latitude,Longitude,Ownership_Type,Year_opened,Landfill_Closure_Year,Status,Current_Area,Current_Depth,Design_Capacity_tons,Waste_in_Place_tons,Annual_waste_acceptance_rate_tons
1265,Greater Lebanon Refuse Authority LF,,PA,1610 Russell Road,Lebanon,Lebanon,17046-1425,40.36401,-76.49443,Public,1959,2022,Open,106.1,,"4,979,408","4,715,066","143,361"
777,East Bridgewater LF,Northern Disposal Inc.,MA,234 Thatcher Street,East Bridgewater,Plymouth,02333,42.06342,-70.97857,Private,1973,1997,Closed,85,,"4,961,250","4,700,000","547,500"
2124,Northeast Sanitary Landfill,NESL,SC,1581 Westvaco Road,Eastover,Richland,29044,34.01375,-80.6839,Private,1988,2049,Open,42.1,69,"9,376,717","4,665,541","163,070"
411,Leon County Landfill,U.S. South 27 LF; Leon County Solid Waste Management Facility,FL,"7550 Apalachee Parkway
5 mi. E. of SR 261 & US 27 Int.",Tallahassee,Leon,32311,30.42153,-84.144,Public,1977,2016,Closed,125,,"5,073,317","4,660,068",307
634,Scott Area SLF,Scott County SLF,IA,11555 110th Avenue County Road Y-48,Davenport,Scott,52804,41.47444,-90.68864,Public,1977,2053,Open,48,,"10,900,673","4,656,477","173,489"
673,Lexington/Fayette Landfill,WMI/Lexington-Fayette LF,KY,,Lexington,Fayette,40507,,,Public,1977,1995,Closed,142,,"4,645,852","4,645,849","263,943"
12145,Indian Creek Landfill #2,,IL,24501 W. McMullen Road,Hopedale,Tazewell,61747,40.427915,-89.464918,Private,2004,2050,Open,29,,"12,127,500","4,642,162","360,531"
1468,FM 812 Landfill,Steinar LF; City of Austin LF,TX,10108 FM 812,Austin,Travis,78719,30.15592,-97.67526,Public,1968,1999,Closed,162,,"10,143,000","4,623,197","51,415"
521,Beecher Landfill,Beecher Development Company Landfill,IL,1055 W. Goodenow Road,Beecher,Will,60401,41.3915,-87.6388,Private,1972,1996,Closed,135,,"4,907,320","4,613,270","163,453"
1805,City of Denton Landfill,Denton Sanitary Landfill,TX,1527 S. Mayhill Road,Denton,Denton,76208,33.190001,-97.075834,Public,1984,2065,Open,80,99,"10,636,982","4,611,968","292,180"
